h2_p	N_causal_SNPs	vr	freq_r	k	N_samples	seed	median_mut	median_ref	p_wilcox	h2_rare	penetrance	h2_poly_est	var_y	mean_prs	mean_prs_cases	r_prs_est_with_rv	r_prs_est_without_rv	mean_prs_cases_est_with_rv	mean_prs_cases_est_without_rv
0.5	100	0.02	0.01	0.05	20000	23	0.498591215	0.942097869	0.002124061	0.02	0.206896552	0.421620084	1	5.93E-17	0.916781987	0.964570848	0.96360499	-0.052856553	-0.020762785
0.5	100	0.02	0.01	0.05	20000	24	0.277591972	0.961275316	1.23E-07	0.02	0.278688525	0.417460876	1	-1.99E-17	0.873644915	0.974742491	0.974441897	-0.118129536	-0.089549822
0.5	100	0.02	0.01	0.05	20000	25	0.29244201	0.938428651	0.002838689	0.02	0.255813953	0.411419381	1	-2.08E-18	0.897029443	0.969682081	0.967684355	0.0895381	0.125675811
0.5	100	0.02	0.01	0.05	20000	26	0.615003118	0.883983634	0.031217031	0.02	0.327272727	0.388547359	1	2.56E-17	0.862815288	0.967458792	0.967016499	0.068349158	0.116239868
0.5	100	0.02	0.01	0.05	20000	27	0.235731301	0.897317199	1.84E-05	0.02	0.406779661	0.411306143	1	1.54E-17	0.821231835	0.971269853	0.970893842	0.00378615	0.037821288
0.5	100	0.02	0.01	0.05	20000	28	0.337027812	0.975470078	0.001021844	0.02	0.303571429	0.412892992	1	2.47E-17	0.895439212	0.962611939	0.960896398	0.03489253	0.073952048
0.5	100	0.02	0.01	0.05	20000	29	0.533328519	0.838646573	0.09004488	0.02	0.306451613	0.389831072	1	-2.96E-17	0.788569108	0.96312013	0.962698108	0.002262905	0.044765906
0.5	100	0.02	0.01	0.05	20000	30	0.148454969	0.979264483	1.28E-06	0.02	0.339285714	0.409116664	1	7.71E-17	0.863113536	0.964666268	0.964421025	-0.013048002	0.022051736
0.5	100	0.02	0.01	0.05	20000	31	0.438845673	0.922580594	4.46E-06	0.02	0.320754717	0.39832668	1	-2.70E-17	0.88913218	0.97217819	0.972037556	-0.002492279	0.028686659
0.5	100	0.02	0.01	0.05	20000	32	0.281058397	0.934781071	0.000126126	0.02	0.25862069	0.40052697	1	2.89E-17	0.87659386	0.972357984	0.973540968	-0.21058949	-0.174954961
0.5	100	0.02	0.01	0.05	20000	33	0.408682929	0.909387219	0.008480976	0.02	0.34	0.396838831	1	4.96E-17	0.865159395	0.967159069	0.968624525	-0.01572046	0.038286589
0.5	100	0.02	0.01	0.05	20000	34	0.270135709	0.925585739	0.000130009	0.02	0.301886792	0.422908802	1	-3.47E-17	0.872158798	0.975758224	0.975290801	-0.095082866	-0.054732035
0.5	100	0.02	0.01	0.05	20000	35	0.326020667	1.01938723	1.46E-05	0.02	0.327272727	0.417859335	1	-5.45E-18	0.889456892	0.966842485	0.965851696	0.06734862	0.107262861
0.5	100	0.02	0.01	0.05	20000	36	0.521644274	0.783320738	0.000350304	0.02	0.309090909	0.424631796	1	2.87E-17	0.78139933	0.967845417	0.966947994	0.010637668	0.047705525
0.5	100	0.02	0.01	0.05	20000	37	0.1276646	0.894421452	9.81E-06	0.02	0.352941176	0.416596388	1	4.83E-18	0.840102039	0.969592557	0.969160922	0.015438837	0.044460681
