h2_p	N_causal_SNPs	vr	freq_r	k	N_samples	seed	median_mut	median_ref	p_wilcox	h2_rare	penetrance	h2_poly_est	var_y	mean_prs	mean_prs_cases	r_prs_est_with_rv	r_prs_est_without_rv	mean_prs_cases_est_with_rv	mean_prs_cases_est_without_rv
0.5	100	0.01	0.01	0.05	5000	99	0.772022227	0.899785065	0.320155461	0.01	0.255102041	0.418783372	1	-3.95E-18	0.887299287	0.98326052	0.983240113	0.095846113	0.118496088
0.5	100	0.01	0.01	0.05	5000	100	0.925751165	1.243153832	0.084032043	0.01	0.175824176	0.516346466	1	-8.37E-19	1.102275354	0.985022608	0.98497653	0.095508062	0.108797818
0.5	100	0.02	0.01	0.05	5000	1	0.443624608	0.892414509	0.005552108	0.02	0.159574468	0.411336748	1	-8.79E-18	0.845777082	0.980067412	0.980076498	-0.104034631	-0.091378231
0.5	100	0.02	0.01	0.05	5000	2	0.902286497	1.216277002	0.00871559	0.02	0.175182482	0.677334373	1	1.32E-18	1.254939897	0.985991309	0.985274133	0.044472459	0.062147478
0.5	100	0.02	0.01	0.05	5000	3	0.325975885	0.804417447	1.60E-07	0.02	0.28	0.356905418	1	-3.37E-17	0.767368686	0.97451786	0.973048181	-0.000398831	0.016981471
0.5	100	0.02	0.01	0.05	5000	4	0.664464288	0.966573791	0.00060506	0.02	0.262135922	0.416818719	1	4.51E-17	0.929140617	0.982188803	0.981714141	-0.008374552	0.015816642
0.5	100	0.02	0.01	0.05	5000	5	0.568030494	0.945914259	0.003236315	0.02	0.221153846	0.44100228	1	-2.34E-17	0.955059957	0.979241799	0.979193992	0.054325261	0.069849681
0.5	100	0.02	0.01	0.05	5000	6	0.612197359	1.184850242	4.04E-06	0.02	0.240384615	0.528465413	1	-2.65E-17	1.103938004	0.98087072	0.981058229	-0.094860697	-0.080789342
0.5	100	0.02	0.01	0.05	5000	7	0.679802173	1.012108438	0.018351083	0.02	0.194444444	0.461787431	1	1.63E-17	0.975543022	0.982769807	0.982590524	0.002622473	0.018353153
0.5	100	0.02	0.01	0.05	5000	8	0.514532693	1.039799168	3.14E-06	0.02	0.247524752	0.568749512	1	3.90E-18	1.007714586	0.985285039	0.98464399	-0.047618961	-0.031842629
0.5	100	0.02	0.01	0.05	5000	9	0.486882527	1.00080798	0.007363274	0.02	0.246753247	0.446085569	1	2.80E-17	0.954292779	0.979179023	0.979720902	-0.049377149	-0.030372351
0.5	100	0.02	0.01	0.05	5000	10	0.583501399	1.002649962	7.90E-05	0.02	0.308641975	0.441864254	1	-3.08E-17	0.936407608	0.980844962	0.980682545	-0.061483049	-0.03957712
0.5	100	0.02	0.01	0.05	5000	11	0.470576825	0.925187811	1.50E-05	0.02	0.245098039	0.424360245	1	2.35E-17	0.894424998	0.982067905	0.982049275	-0.089120224	-0.073732798
